POSTCODE;SIZE;NUMBER_OF_ROOMS;PRICE;COORDINATES;ZBEZ
1010;350;9;7700.95;48.21367711,16.35909827;0104
1190;315;5;7221.51;48.260974,16.362053;1901
1020;309;6;6900;48.20592,16.399;0206
1090;344;6;6532.91;48.2162415,16.3478422;0903
1090;344;6;6532.91;48.2162415,16.3478422;0903
1040;289;5;6480.1;48.1982492,16.3738388;0401
1040;290;4;6480;48.197875,16.3750201;0402
1040;290;4;6479.99;48.19771586,16.37214889;0401
1040;290;4;6479.99;48.19771586,16.37214889;0401
1040;264;5;6447.18;48.19681839,16.37157616;0402
1030;345;7;6030.08;48.19536,16.39672;0305
1030;345;7;6008.29;48.19536,16.39672;0305
1040;264;5;5900;48.197875,16.3750201;0402
1040;264;5;5900;48.19771586,16.37214889;0401
1040;264;5;5900;48.19771586,16.37214889;0401
1040;264;5;5899.99;48.1982492,16.3738388;0401
1040;264;5;5899;48.1973183,16.3743749;0402
1040;264;5;5899;48.1973183,16.3743749;0402
1190;249;7;5807.28;48.2499405,16.3261549;1907
1190;250;7;5807;48.25937,16.33584;1906
1190;250;7;5807;48.25937,16.33584;1906
1190;250;7;5807;48.25937,16.33584;1906
1080;370;9;5578.8;48.20883866,16.35432667;0802
1040;287;6;5554.02;48.1965063,16.3740432;0402
1190;230;6;5500;48.265968,16.340522;1901
1090;302;7;5172.26;48.2261026,16.3543635;0904
1010;251;5;5160.68;48.2149193,16.3685538;0105
1080;341;12;5145.44;48.2151701,16.3464298;0801
1090;218;6;5018.35;48.2162415,16.3478422;0903
1080;273;4;4998;48.2151701,16.3464298;0801
1080;273;5;4998;48.2151701,16.3464298;0801
1010;212;4;4995;48.2149193,16.3685538;0105
1080;368;9;4992.9;48.20728586,16.35086805;0802
;288;6;4990;48.20263,16.36843;0103
1060;252;4;4967.35;48.1957,16.3512845;0602
1010;250;6;4899.03;48.2149193,16.3685538;0105
1090;248;4;4851.4;48.2162415,16.3478422;0903
1070;224;4;4832;48.20646388,16.35447016;0701
1070;224;4;4832;48.20646388,16.35447016;0701
1190;196;6;4785;48.2499405,16.3261549;1907
1060;252;4;4690.01;48.1953299,16.3509609;0603
1190;196;6;4675;48.23626693,16.34561193;1909
